,xcoord,ycoord,year,datestop,timestop,crimsusp,arstmade,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,city,state,zip,lat,long
138,1008123,244271,2015,1032015,2200,CPW,N,L, , ,STREET, , ,SHERIDAN AVENUE,MARCY PLACE,BRONX, , ,40.70587,-74.013254
139,1040803,156096,2015,1032015,2215,FELONY,Y,L, , , , , ,THURSBY AVENUE,BEACH 67 STREET,QUEENS, , ,40.720366,-74.005969
140,1040803,156096,2015,1032015,2215,FELONY,Y,L, , , , , ,THURSBY AVENUE,BEACH 67 STREET,QUEENS, , ,40.720366,-74.005969
141,956061,154007,2015,1032015,2315,BURG,N,L, , ,STREET, , ,BUEL AVENUE,RICHMOND ROAD,STATEN IS, , ,42.997386,-77.51954
142,956061,154007,2015,1032015,2315,BURG,N,L, , ,STREET, , ,BUEL AVENUE,RICHMOND ROAD,STATEN IS, , ,42.997386,-77.51954
143,1017854,240245,2015,1042015,115,FEL,N,L, , ,PUBLIC STREET, , ,WATSON AVENUE,ELDER AVENUE,BRONX, , ,40.714269,-74.005973
144,1008551,194410,2015,1042015,125,FELONY,N,L, , ,SIDEWALK,305,WYCKOFF AVENUE,GATES AVENUE,LINDEN STREET,BROOKLYN, , ,42.64143,-76.84445
145,1027679,214505,2015,1042015,450,FELONY,N,L, , ,TRAIN STATION, , ,WILLETS POINT BOULEVARD,ROOSEVELT AVENUE,QUEENS, , ,43.360681,-78.215001
146,998237,222261,2015,1042015,550,FEL,Y,L, , ,SIDEWALK,1649,1 AVENUE,EAST 86 STREET,EAST 85 STREET,MANHATTAN, , ,40.752597,-73.967011
147,998237,222261,2015,1042015,550,FEL,Y,L, , ,SIDEWALK,1649,1 AVENUE,EAST 86 STREET,EAST 85 STREET,MANHATTAN, , ,40.752597,-73.967011
148, , ,2015,1042015,905,FELONY,N,L, , ,CORNER/SIDEWALK, , ,KINGSLAND AVENUE,MORGAN AVENUE,BROOKLYN, , ,43.058462,-77.811146
149,995811,164905,2015,1042015,1250,MIS/CPW,N,L, , ,LOBBY OF TRESIDENTIAL BUILD,1270,EAST 17 STREET,CHESTNUT AVENUE,AVENUE L,BROOKLYN, , ,40.733242,-73.981127
150,1003782,219005,2015,1042015,1508,FEL,Y,L, , ,SIDEWALK,30-89,21 STREET,31 AVENUE,30 DRIVE,QUEENS, , ,40.741543,-73.992672
151,1040432,192058,2015,1042015,1535,FELONY,N,L, , ,STREET/SIDEWALK,108-21,154 STREET,109 AVENUE,108 AVENUE,QUEENS, , ,40.827633,-73.935758
152,1040432,192058,2015,1042015,1535,FELONY,N,L, , ,STREET/SIDEWALK,108-21,154 STREET,109 AVENUE,108 AVENUE,QUEENS, , ,40.827633,-73.935758
153,1017253,179964,2015,1042015,1755,CPW,Y,L, , ,3RD FLOOR,758,STANLEY AVENUE,ASHFORD STREET,SCHENCK AVENUE,BROOKLYN, , ,42.716766,-77.872044
